Id_bien;Code_Commune;Type_Local;Surface_Bati;Nombre_Piece_Princ
1;1;Appartement;48;3
2;205;Appartement;40;1
3;142;Appartement;82;3
4;228;Appartement;27;1
5;326;Appartement;47;2
6;331;Appartement;24;1
7;327;Appartement;70;3
8;343;Appartement;66;3
9;372;Appartement;19;1
10;366;Maison;99;4
11;390;Appartement;34;2
12;480;Maison;100;5
13;595;Appartement;31;1
14;602;Appartement;67;3
15;732;Appartement;46;2
16;796;Appartement;27;1
17;783;Appartement;12;1
18;877;Appartement;29;2
19;782;Appartement;51;2
20;907;Appartement;18;1
21;949;Appartement;51;2
22;948;Appartement;85;3
23;1038;Maison;89;4
24;1035;Appartement;46;2
25;1054;Appartement;77;4
26;1156;Maison;53;3
27;1170;Appartement;48;2
28;1286;Appartement;45;2
29;1326;Appartement;48;2
30;1482;Appartement;79;4
31;1512;Appartement;39;2
32;1595;Appartement;44;3
33;1618;Appartement;124;4
34;1642;Appartement;71;3
35;1698;Appartement;48;2
36;1734;Appartement;18;1
37;1718;Appartement;97;5
38;1710;Appartement;32;1
39;1953;Appartement;51;2
40;1908;Appartement;20;1
41;2194;Appartement;33;2
42;2166;Appartement;39;2
43;2196;Appartement;20;1
44;2162;Appartement;88;4
45;3200;Appartement;41;2
46;3201;Appartement;32;2
47;3203;Appartement;120;4
48;3203;Appartement;28;2
49;3203;Appartement;28;2
50;3204;Appartement;41;2
51;3204;Appartement;51;3
52;3204;Appartement;10;1
53;3207;Appartement;88;4
54;3210;Appartement;18;1
55;3210;Appartement;39;2
56;3210;Appartement;25;2
57;2222;Appartement;59;4
58;2211;Appartement;58;3
59;2248;Appartement;25;1
60;2341;Appartement;40;2
61;2426;Appartement;89;4
62;2411;Appartement;107;5
63;2408;Appartement;70;4
64;2408;Appartement;40;2
65;2447;Appartement;142;5
66;2425;Appartement;74;3
67;2412;Appartement;48;2
68;2622;Appartement;50;2
69;2637;Appartement;20;1
70;2639;Appartement;38;2
71;2635;Maison;91;5
72;2658;Appartement;40;2
73;2728;Appartement;45;2
74;2736;Appartement;30;1
75;2735;Appartement;75;4
76;2744;Appartement;62;2
77;2746;Appartement;43;2
78;2924;Appartement;128;5
79;2855;Appartement;43;2
80;2950;Appartement;55;3
81;2945;Appartement;65;3
82;2949;Appartement;59;3
83;2952;Appartement;55;2
84;3011;Maison;90;4
85;3012;Appartement;77;4
86;2984;Appartement;46;2
87;3003;Appartement;24;2
88;3050;Appartement;67;3
89;3047;Maison;66;4
90;3047;Appartement;49;2
91;3061;Appartement;17;1
92;3136;Appartement;69;4
93;3068;Maison;93;5
94;3139;Appartement;56;3
95;48;Appartement;47;1
96;55;Appartement;156;6
97;73;Appartement;77;3
98;79;Appartement;25;1
99;78;Appartement;133;4
100;77;Appartement;33;1
101;204;Appartement;41;2
102;226;Appartement;58;3
103;142;Appartement;98;4
104;142;Appartement;95;3
105;144;Appartement;68;3
106;162;Appartement;58;2
107;278;Appartement;52;3
108;328;Appartement;51;3
109;315;Appartement;50;2
110;314;Appartement;30;1
111;324;Appartement;51;3
112;325;Appartement;52;3
113;363;Appartement;59;2
114;367;Appartement;13;1
115;368;Appartement;53;2
116;370;Maison;32;2
117;390;Appartement;33;1
118;389;Maison;50;3
119;460;Appartement;67;4
120;459;Appartement;57;2
121;431;Appartement;64;4
122;468;Appartement;33;1
123;482;Appartement;147;5
124;564;Maison;105;5
125;664;Appartement;50;2
126;722;Appartement;39;2
127;663;Appartement;19;1
128;665;Appartement;60;3
129;774;Appartement;57;2
130;817;Appartement;44;2
131;783;Appartement;60;4
132;785;Maison;86;4
133;802;Appartement;45;2
134;904;Appartement;24;1
135;1037;Appartement;42;2
136;1035;Appartement;70;3
137;1103;Appartement;20;1
138;1054;Appartement;95;3
139;1098;Appartement;62;3
140;1172;Maison;25;1
141;1157;Appartement;19;1
142;1166;Maison;47;3
143;1233;Maison;93;4
144;1280;Appartement;64;3
145;1278;Appartement;47;2
146;1284;Appartement;42;2
147;1356;Appartement;65;3
148;1360;Appartement;69;1
149;1445;Appartement;47;2
150;1488;Appartement;121;4
151;1512;Appartement;38;2
152;1580;Appartement;105;3
