Code_Commune;depart_ID;Nom_Com;;;;;;
2551;80;ABBEVILLE;;;;;;
3052;94;ABLON-SUR-SEINE;;;;;;
123;05;ABRIES-RISTOLAS;;;;;;
2456;78;ACHERES;;;;;;
2307;77;ACHERES-LA-FORET;;;;;;
1777;62;ACHICOURT;;;;;;
977;35;ACIGNE;;;;;;
1881;65;ADE;;;;;;
947;34;AGDE;;;;;;
1396;47;AGEN;;;;;;
1445;50;AGNEAUX;;;;;;
1466;50;AGON-COUTAINVILLE;;;;;;
1294;44;AIGREFEUILLE SUR MAINE;;;;;;
664;30;AIGUES-MORTES;;;;;;
679;30;AIGUES-VIVES;;;;;;
1403;47;AIGUILLON;;;;;;
2713;85;AIGUILLON-SUR-MER (L );;;;;;
2556;80;AILLY-SUR-NOYE;;;;;;
687;30;AIMARGUES;;;;;;
2105;73;AIME LA PLAGNE;;;;;;
1179;40;AIRE-SUR-L'ADOUR;;;;;;
1811;62;AIRE-SUR-LA-LYS;;;;;;
350;13;AIX EN PROVENCE;;;;;;
2084;73;AIX LES BAINS;;;;;;
1792;62;AIX NOULETTE;;;;;;
618;2A;AJACCIO;;;;;;
3176;972;AJOUPA BOUILLON;;;;;;
2557;80;ALBERT;;;;;;
2090;73;ALBERTVILLE;;;;;;
2559;81;ALBI;;;;;;
2119;73;ALBIEZ-MONTROND;;;;;;
1905;69;ALBIGNY-SUR-SAONE;;;;;;
631;2A;ALBITRECCIA;;;;;;
1773;61;ALENCON;;;;;;
1894;66;ALENYA;;;;;;
722;30;ALES;;;;;;
3023;94;ALFORTVILLE;;;;;;
2011;69;ALIX;;;;;;
347;13;ALLAUCH;;;;;;
1652;59;ALLENNES-LES-MARAIS;;;;;;
1079;38;ALLEVARD;;;;;;
2067;72;ALLONNES;;;;;;
2148;74;ALLONZIER-LA-CAILLE;;;;;;
83;04;ALLOS;;;;;;
419;18;ALLOUIS;;;;;;
2186;74;AMANCY;;;;;;
839;33;AMBARES-ET-LAGRAVE;;;;;;
10;01;AMBERIEU-EN-BUGEY;;;;;;
1049;37;AMBOISE;;;;;;
1897;66;AMELIE LES BAINS;;;;;;
2210;76;AMFREVILLE-LA-MIVOIE;;;;;;
2539;80;AMIENS;;;;;;
1385;45;AMILLY;;;;;;
2022;69;AMPLEPUIS;;;;;;
1963;69;AMPUIS;;;;;;
126;05;ANCELLE;;;;;;
1302;44;ANCENIS-SAINT-GEREON;;;;;;
536;26;ANCONE;;;;;;
817;33;ANDERNOS-LES-BAINS;;;;;;
1706;60;ANDEVILLE;;;;;;
3152;95;ANDILLY;;;;;;
225;06;ANDON;;;;;;
2446;78;ANDRESY;;;;;;
2289;77;ANDREZEL;;;;;;
1234;42;ANDREZIEUX-BOUTHEON;;;;;;
728;30;ANDUZE;;;;;;
588;28;ANET;;;;;;
1419;49;ANGERS;;;;;;
2918;91;ANGERVILLE;;;;;;
2917;91;ANGERVILLIERS;;;;;;
1854;64;ANGLET;;;;;;
382;16;ANGOULEME;;;;;;
404;17;ANGOULINS;;;;;;
1181;40;ANGRESSE;;;;;;
2132;74;ANNECY;;;;;;
2131;74;ANNEMASSE;;;;;;
2352;77;ANNET-SUR-MARNE;;;;;;
253;07;ANNONAY;;;;;;
2017;69;ANSE;;;;;;
1121;38;ANTHON;;;;;;
205;06;ANTIBES;;;;;;
2971;92;ANTONY;;;;;;
1694;59;ANZIN;;;;;;
1780;62;ANZIN-SAINT-AUBIN;;;;;;
635;2A;APPIETTO;;;;;;
2675;84;APT;;;;;;
2168;74;ARACHES LA FRASSE;;;;;;
1880;65;ARAGNOUET;;;;;;
1270;43;ARAULES;;;;;;
624;2A;ARBELLARA;;;;;;
39;01;ARBENT;;;;;;
1138;39;ARBOIS;;;;;;
809;33;ARCACHON;;;;;;
2152;74;ARCHAMPS;;;;;;
2044;70;ARC-LES-GRAY;;;;;;
3041;94;ARCUEIL;;;;;;
1373;45;ARDON;;;;;;
659;2B;AREGNO;;;;;;
829;33;ARES;;;;;;
1851;64;ARETTE;;;;;;
1883;66;ARGELES SUR MER;;;;;;
1866;65;ARGELES-GAZOST;;;;;;
3155;95;ARGENTEUIL;;;;;;
630;2A;ARGIUSTA-MORICCIO;;;;;;
2134;74;ARGONAY;;;;;;
359;13;ARLES;;;;;;
1670;59;ARMENTIERES;;;;;;
2012;69;ARNAS;;;;;;
3105;95;ARNOUVILLE;;;;;;
2873;91;ARPAJON;;;;;;
1815;62;ARQUES;;;;;;
2223;76;ARQUES-LA-BATAILLE;;;;;;
1576;56;ARRADON;;;;;;
1776;62;ARRAS;;;;;;
1871;65;ARREAU;;;;;;
691;30;ARRIGAS;;;;;;
403;17;ARS-EN-RE;;;;;;
820;33;ARTIGUES-PRES-BORDEAUX;;;;;;
1573;56;ARZON;;;;;;
3128;95;ASNIERES-SUR-OISE;;;;;;
2948;92;ASNIERES-SUR-SEINE;;;;;;
193;06;ASPREMONT;;;;;;
936;34;ASSAS;;;;;;
2849;91;ATHIS MONS;;;;;;
1726;60;ATTICHY;;;;;;
326;13;AUBAGNE;;;;;;
236;07;AUBENAS;;;;;;
2460;78;AUBERGENVILLE;;;;;;
2989;93;AUBERVILLIERS;;;;;;
2670;84;AUBIGNAN;;;;;;
2078;72;AUBIGNE RACAN;;;;;;
421;18;AUBIGNY-SUR-NERE;;;;;;
686;30;AUBORD;;;;;;
1547;54;AUBOUE;;;;;;
738;31;AUCAMVILLE;;;;;;
774;32;AUCH;;;;;;
837;33;AUDENGE;;;;;;
508;25;AUDINCOURT;;;;;;
3006;93;AULNAY SOUS BOIS;;;;;;
2550;80;AULT;;;;;;
578;28;AUNEAU-BLEURY-SAINT-SYMPHORIEN;;;;;;
1596;56;AURAY;;;;;;
1269;43;AUREC-SUR-LOIRE;;;;;;
1192;40;AUREILHAN;;;;;;
333;13;AURIOL;;;;;;
1112;38;AURIS;;;;;;
2102;73;AUSSOIS;;;;;;
752;31;AUSSONNE;;;;;;
1100;38;AUTRANS-MEAUDRE EN VERCORS;;;;;;
2060;71;AUTUN;;;;;;
3072;95;AUVERS-SUR-OISE;;;;;;
2798;89;AUXERRE;;;;;;
768;31;AUZEVILLE-TOLOSANE;;;;;;
2804;89;AVALLON;;;;;;
1655;59;AVELIN;;;;;;
1501;51;AVENAY-VAL-D'OR;;;;;;
2658;84;AVIGNON;;;;;;
1751;60;AVILLY ST LEONARD;;;;;;
1782;62;AVION;;;;;;
1486;51;AVIZE;;;;;;
2290;77;AVON;;;;;;
1450;50;AVRANCHES;;;;;;
1431;49;AVRILLE;;;;;;
271;09;AX-LES-THERMES;;;;;;
1491;51;AY-CHAMPAGNE;;;;;;
394;17;AYTRE;;;;;;
307;11;BAGES;;;;;;
1874;65;BAGNERES-DE-BIGORRE;;;;;;
2976;92;BAGNEUX;;;;;;
1775;61;BAGNOLES DE L'ORNE NORMANDIE;;;;;;
2981;93;BAGNOLET;;;;;;
717;30;BAGNOLS SUR CEZE;;;;;;
2594;83;BAGNOLS-EN-FORET;;;;;;
918;34;BAILLARGUES;;;;;;
3117;95;BAILLET-EN-FRANCE;;;;;;
1679;59;BAILLEUL;;;;;;
2441;78;BAILLY;;;;;;
2369;77;BAILLY-ROMAINVILLIERS;;;;;;
1005;35;BAIN-DE-BRETAGNE;;;;;;
264;08;BALAN;;;;;;
924;34;BALARUC LE VIEUX;;;;;;
904;34;BALARUC LES BAINS;;;;;;
1256;42;BALBIGNY;;;;;;
2858;91;BALLAINVILLIERS;;;;;;
1047;37;BALLAN MIRE;;;;;;
2827;91;BALLANCOURT-SUR-ESSONNE;;;;;;
735;31;BALMA;;;;;;
2634;83;BANDOL;;;;;;
284;10;BAR SUR AUBE;;;;;;
2733;85;BARBATRE;;;;;;
2118;73;BARBERAZ;;;;;;
385;16;BARBEZIEUX SAINT HILAIRE;;;;;;
2266;77;BARBIZON;;;;;;
2095;73;BARBY;;;;;;
90;04;BARCELONNETTE;;;;;;
1875;65;BAREGES;;;;;;
2215;76;BARENTIN;;;;;;
2605;83;BARGEMON;;;;;;
2601;83;BARJOLS;;;;;;
1471;50;BARNEVILLE-CARTERET;;;;;;
2734;85;BARRE-DE-MONTS (LA);;;;;;
109;04;BARREME;;;;;;
2695;84;BARROUX (LE);;;;;;
842;33;BARSAC;;;;;;
412;17;BARZAN;;;;;;
1290;44;BASSE-GOULAINE;;;;;;
844;33;BASSENS;;;;;;
2330;77;BASSEVELLE;;;;;;
1860;64;BASSUSSARRY;;;;;;
649;2A;BASTELICACCIA;;;;;;
1346;44;BATZ-SUR-MER;;;;;;
1473;50;BAUBIGNY;;;;;;
1617;56;BAUD;;;;;;
2896;91;BAULNE;;;;;;
490;25;BAUME LES DAMES;;;;;;
1852;64;BAYONNE;;;;;;
848;33;BAZAS;;;;;;
265;08;BAZEILLES;;;;;;
772;31;BAZIEGE;;;;;;
702;30;BEAUCAIRE;;;;;;
3144;95;BEAUCHAMP;;;;;;
2816;90;BEAUCOURT;;;;;;
1130;38;BEAUCROISSANT;;;;;;
1372;45;BEAUGENCY;;;;;;
923;34;BEAULIEU;;;;;;
166;06;BEAULIEU SUR MER;;;;;;
2698;84;BEAUMES-DE-VENISE;;;;;;
2569;82;BEAUMONT DE LOMAGNE;;;;;;
561;27;BEAUMONT LE ROGER;;;;;;
545;26;BEAUMONT LES VALENCE;;;;;;
2083;72;BEAUMONT SUR SARTHE;;;;;;
3079;95;BEAUMONT-SUR-OISE;;;;;;
1390;45;BEAUNE-LA-ROLANDE;;;;;;
1438;49;BEAUPREAU-EN-MAUGES;;;;;;
1781;62;BEAURAINS;;;;;;
50;01;BEAUREGARD;;;;;;
151;06;BEAUSOLEIL;;;;;;
446;22;BEAUSSAIS-SUR-MER;;;;;;
2336;77;BEAUTHEIL-SAINTS;;;;;;
1698;60;BEAUVAIS;;;;;;
525;26;BEAUVALLON;;;;;;
